Date,Price
12/15/2016,15077.4
12/16/2016,15167.5
12/19/2016,15383.6
12/20/2016,15329.6
12/21/2016,15311.6
12/22/2016,15329.6
12/23/2016,15365.6
12/26/2016,15383.6
12/27/2016,15545.8
12/28/2016,15707.9
12/29/2016,15653.9
12/30/2016,15852
1/3/2017,16158.2
1/4/2017,16302.3
1/5/2017,16248.3
1/6/2017,16194.3
1/9/2017,16284.3
1/10/2017,16572.5
1/11/2017,16608.6
1/12/2017,16554.5
1/13/2017,16176.2
1/16/2017,15852
1/17/2017,15996.1
1/18/2017,15779.9
1/19/2017,15779.9
1/20/2017,15924.1
1/23/2017,16014.1
1/24/2017,16104.2
1/25/2017,16248.3
2/2/2017,16176.2
2/3/2017,16104.2
2/6/2017,15960.1
2/7/2017,16032.1
2/8/2017,16068.2
2/9/2017,16050.2
2/10/2017,16014.1
2/13/2017,16140.2
2/14/2017,16716.7
2/15/2017,16572.5
2/16/2017,16320.4
2/17/2017,16320.4
2/20/2017,16230.3
2/21/2017,16356.4
2/22/2017,16500.5
2/23/2017,16572.5
2/24/2017,16572.5
2/27/2017,16770.7
2/28/2017,16518.5
3/1/2017,16464.5
3/2/2017,16374.4
3/3/2017,16446.5
3/6/2017,16554.5
3/7/2017,16500.5
3/8/2017,16500.5
3/9/2017,16392.4
3/10/2017,16572.5
3/13/2017,16482.5
3/14/2017,16464.5
3/15/2017,16410.4
3/16/2017,16464.5
3/17/2017,16536.5
3/20/2017,16788.7
3/21/2017,16788.7
3/22/2017,16608.6
3/23/2017,17293.1
3/24/2017,17185
3/27/2017,17149
3/28/2017,17076.9
3/29/2017,17113
3/30/2017,16968.8
3/31/2017,17040.9
4/3/2017,16716.7
4/4/2017,16932.8
4/5/2017,16770.7
4/7/2017,16932.8
4/10/2017,16932.8
4/11/2017,16914.8
4/12/2017,17131
4/13/2017,17022.9
4/14/2017,16590.6
4/17/2017,16464.5
4/18/2017,16572.5
4/19/2017,16572.5
4/20/2017,16518.5
4/21/2017,16518.5
4/24/2017,16482.5
4/25/2017,16446.5
4/26/2017,16572.5
4/27/2017,16752.7
4/28/2017,16734.7
5/3/2017,16932.8
5/4/2017,16932.8
5/5/2017,16968.8
5/8/2017,16932.8
5/9/2017,17401.2
5/10/2017,17329.1
5/11/2017,17329.1
5/12/2017,17293.1
5/15/2017,17221
5/16/2017,17113
5/17/2017,17221
5/18/2017,17257.1
5/19/2017,17437.2
5/22/2017,17473.2
5/23/2017,17599.3
5/24/2017,17689.4
5/25/2017,18016.7
5/26/2017,17805.3
5/29/2017,18016.7
5/30/2017,18185.9
5/31/2017,18185.9
6/1/2017,18376.2
6/2/2017,18291.6
6/5/2017,18291.6
6/6/2017,18735.7
6/7/2017,18630
6/8/2017,18693.4
6/9/2017,19095.2
6/12/2017,18904.9
6/13/2017,19179.8
6/14/2017,19116.3
6/15/2017,19200.9
6/16/2017,19327.8
6/19/2017,19581.5
6/20/2017,19518.1
6/21/2017,20089.1
6/22/2017,20131.4
6/23/2017,20067.9
6/26/2017,19750.7
6/27/2017,19327.8
6/28/2017,19602.7
6/29/2017,19666.1
6/30/2017,19814.2
7/3/2017,19623.8
7/4/2017,19708.4
7/5/2017,19750.7
7/6/2017,20258.2
7/7/2017,20554.3
7/10/2017,20385.1
7/11/2017,20131.4
7/12/2017,20279.4
7/13/2017,20660
7/14/2017,20596.6
7/17/2017,20300.5
7/18/2017,20215.9
7/19/2017,19835.3
7/20/2017,19793
7/21/2017,19539.3
7/24/2017,19666.1
7/25/2017,19750.7
7/26/2017,20215.9
7/27/2017,20385.1
7/28/2017,20533.1
7/31/2017,20448.5
8/1/2017,20723.5
8/2/2017,20892.6
8/3/2017,21188.7
8/4/2017,21188.7
8/7/2017,21082.9
8/8/2017,20702.3
8/9/2017,20469.7
8/10/2017,20681.2
8/11/2017,20913.8
8/14/2017,20808
8/15/2017,20681.2
8/16/2017,20554.3
8/17/2017,20467.9
8/18/2017,20511.1
8/21/2017,20619.1
8/22/2017,20338.4
8/23/2017,20381.6
8/24/2017,20597.5
8/25/2017,20511.1
8/28/2017,20554.3
8/29/2017,20619.1
8/30/2017,20640.6
8/31/2017,20942.9
9/1/2017,20986.1
9/5/2017,20942.9
9/6/2017,20813.4
9/7/2017,20683.8
9/8/2017,20597.5
9/11/2017,20446.3
9/12/2017,20770.2
9/13/2017,21050.9
9/14/2017,20878.1
9/15/2017,20813.4
9/18/2017,20878.1
9/19/2017,20899.7
9/20/2017,21007.7
9/21/2017,21331.5
9/22/2017,21353.1
9/25/2017,21094
9/26/2017,21158.8
9/27/2017,21158.8
9/28/2017,21137.2
9/29/2017,21050.9
10/2/2017,20813.4
10/3/2017,20662.2
10/4/2017,20748.6
10/5/2017,20856.5
10/6/2017,21050.9
10/9/2017,21072.5
10/10/2017,21288.4
10/11/2017,21547.4
10/12/2017,22022.4
10/13/2017,22108.8
10/16/2017,22195.2
10/17/2017,22238.3
10/18/2017,21806.5
10/19/2017,21849.7
10/20/2017,21720.2
10/23/2017,21288.4
10/24/2017,21288.4
10/25/2017,21461.1
10/26/2017,21417.9
10/27/2017,21677
10/30/2017,21590.6
10/31/2017,21763.4
11/1/2017,21936.1
11/2/2017,21806.5
11/3/2017,22022.4
11/6/2017,22195.2
11/7/2017,22108.8
11/8/2017,22886.1
11/9/2017,22713.3
11/10/2017,22540.6
11/13/2017,23317.9
11/14/2017,23274.7
11/15/2017,24570.1
11/16/2017,24613.3
11/17/2017,24483.8
11/20/2017,25001.9
11/21/2017,24699.7
11/22/2017,25045.1
11/23/2017,24872.4
11/24/2017,25001.9
11/27/2017,25131.5
11/28/2017,24829.2
11/29/2017,25606.5
11/30/2017,25217.9
12/1/2017,25217.9
12/4/2017,25390.6
12/5/2017,24742.9
12/6/2017,24527
12/7/2017,24224.7
12/8/2017,23965.6
12/11/2017,23102
12/12/2017,23188.3
12/13/2017,23620.1
12/14/2017,24138.3
12/15/2017,24397.4
12/18/2017,24311
12/19/2017,23836.1
12/20/2017,24311
12/21/2017,24354.2
12/22/2017,24656.5
12/25/2017,24872.4
12/26/2017,24656.5
12/27/2017,24483.8
12/28/2017,24699.7
12/29/2017,24656.5
1/2/2018,25822.4
1/3/2018,25822.4
1/4/2018,26340.6
1/5/2018,25908.8
1/8/2018,26297.4
1/9/2018,26815.6
1/10/2018,26556.5
1/11/2018,26556.5
1/12/2018,25995.1
1/15/2018,26340.6
1/16/2018,26340.6
1/17/2018,25476.9
1/18/2018,25476.9
1/19/2018,25433.8
1/22/2018,26297.4
1/25/2018,26383.7
1/26/2018,26254.2
1/29/2018,26038.3
1/30/2018,27636
1/31/2018,27161
2/1/2018,26599.7
2/2/2018,26340.6
2/5/2018,24656.5
2/6/2018,23404.2
2/7/2018,24440.6
2/8/2018,23836.1
2/9/2018,23749.7
2/12/2018,24656.5
2/13/2018,25476.9
2/21/2018,25649.7
2/22/2018,25217.9
2/23/2018,26124.7
2/26/2018,26081.5
2/27/2018,25822.4
2/28/2018,25822.4
3/1/2018,26254.2
3/2/2018,26383.7
3/5/2018,26556.5
3/6/2018,27333.7
3/7/2018,26858.7
3/8/2018,26858.7
3/9/2018,26599.7
3/12/2018,26513.3
3/13/2018,25951.9
3/14/2018,26254.2
3/15/2018,26167.8
3/16/2018,25951.9
3/19/2018,26124.7
3/20/2018,26470.1
3/21/2018,26340.6
3/22/2018,25951.9
3/23/2018,25304.2
3/26/2018,25563.3
3/27/2018,25692.8
3/28/2018,25433.8
3/29/2018,25692.8
3/30/2018,26211
4/2/2018,26556.5
4/3/2018,26426.9
4/4/2018,26642.8
4/5/2018,27204.2
4/6/2018,27074.6
4/9/2018,27376.9
4/10/2018,27808.7
4/11/2018,27204.2
4/12/2018,27463.3
4/13/2018,26772.4
4/16/2018,26383.7
4/17/2018,26772.4
4/18/2018,26772.4
4/19/2018,26211
4/20/2018,26470.1
4/23/2018,25045.1
4/24/2018,24354.2
4/26/2018,23749.7
4/27/2018,24613.3
5/2/2018,24613.3
5/3/2018,25045.1
5/4/2018,25390.6
5/7/2018,25736
5/8/2018,25476.9
5/9/2018,25217.9
5/10/2018,25174.7
5/11/2018,25692.8
5/14/2018,26599.7
5/15/2018,26513.3
5/16/2018,26124.7
5/17/2018,26167.8
5/18/2018,26254.2
5/21/2018,26340.6
5/22/2018,25779.2
5/23/2018,26167.8
5/24/2018,25692.8
5/25/2018,24911
5/28/2018,23178.9
5/29/2018,24146.9
5/30/2018,23153.5
5/31/2018,23433.7
6/1/2018,23662.9
6/4/2018,24070.4
6/5/2018,24350.6
6/6/2018,24707.2
6/7/2018,24350.6
6/8/2018,24427
6/11/2018,24197.8
6/12/2018,23586.5
6/13/2018,23841.2
6/14/2018,23739.3
6/15/2018,23688.4
6/18/2018,23128
6/19/2018,22669.5
6/20/2018,23128
6/21/2018,22618.6
6/22/2018,22924.2
6/25/2018,22975.2
6/26/2018,22669.5
6/27/2018,22567.6
6/28/2018,21650.7
6/29/2018,21141.2
7/2/2018,20479
7/3/2018,19867.7
7/4/2018,20377.1
7/5/2018,20122.4
7/6/2018,20784.6
7/9/2018,20453.5
7/10/2018,20580.9
7/11/2018,19969.5
7/12/2018,19765.8
7/13/2018,20682.7
7/16/2018,20835.6
7/17/2018,21345
7/18/2018,21854.4
7/19/2018,21650.7
7/20/2018,21192.2
7/23/2018,21395.9
7/24/2018,21497.8
7/25/2018,21599.7
7/26/2018,21676.1
7/27/2018,22058.2
7/30/2018,22058.2
7/31/2018,21803.5
8/1/2018,21395.9
8/2/2018,21752.5
8/3/2018,21701.6
8/6/2018,21523.3
8/7/2018,21370.5
8/8/2018,21650.7
8/9/2018,21803.5
8/10/2018,21956.3
8/13/2018,22134.6
8/14/2018,22567.6
8/15/2018,22312.9
8/16/2018,22417.2
8/17/2018,22677.8
8/20/2018,22782.1
8/21/2018,22782.1
8/22/2018,22964.6
8/23/2018,23147
8/24/2018,23173.1
8/27/2018,23147
8/28/2018,23042.8
8/29/2018,23042.8
8/30/2018,23016.7
8/31/2018,23042.8
9/4/2018,22990.6
9/5/2018,22573.6
9/6/2018,22078.3
9/7/2018,22417.2
9/10/2018,22182.6
9/11/2018,22495.4
9/12/2018,22443.2
9/13/2018,22625.7
9/14/2018,23225.2
9/17/2018,22990.6
9/18/2018,23355.6
9/19/2018,23694.4
9/20/2018,23929
9/21/2018,23929
9/24/2018,24033.3
9/25/2018,23929
9/26/2018,24007.2
9/27/2018,24085.4
9/28/2018,24137.6
10/1/2018,23981.2
10/2/2018,23616.2
10/3/2018,23720.5
10/4/2018,23903
10/5/2018,23772.6
10/8/2018,23459.8
10/9/2018,23303.4
10/10/2018,23616.2
10/11/2018,22260.8
10/12/2018,22834.2
10/15/2018,22417.2
10/16/2018,22547.5
10/17/2018,22730
10/18/2018,22730
10/19/2018,22417.2
10/22/2018,22495.4
10/23/2018,22000.1
10/24/2018,21791.6
10/25/2018,21400.6
10/26/2018,21270.3
10/29/2018,21374.5
10/30/2018,21374.5
10/31/2018,21869.8
11/1/2018,21843.7
11/2/2018,22365
11/5/2018,22182.6
11/6/2018,21974
11/7/2018,21817.6
11/8/2018,21974
11/9/2018,21504.9
11/12/2018,21869.8
11/13/2018,21713.4
11/14/2018,22026.2
11/15/2018,22000.1
11/16/2018,22286.8
11/19/2018,22495.4
11/20/2018,22625.7
11/21/2018,22625.7
11/22/2018,22625.7
11/23/2018,22443.2
11/26/2018,22130.4
11/27/2018,22286.8
11/28/2018,22312.9
11/29/2018,22365
11/30/2018,22365
12/3/2018,23407.7
12/4/2018,23433.8
12/5/2018,23251.3
12/6/2018,23147
12/7/2018,23512
12/10/2018,23042.8
12/11/2018,22964.6
12/12/2018,23173.1
12/13/2018,23251.3
12/14/2018,23016.7
12/17/2018,22417.2
12/18/2018,21895.8
12/19/2018,21948
12/20/2018,21921.9
12/21/2018,22156.5
12/24/2018,21895.8
12/25/2018,21635.2
12/26/2018,21583.1
12/27/2018,21791.6
12/28/2018,22000.1
1/2/2019,21478.8
1/3/2019,21270.3
1/4/2019,21426.7
1/7/2019,21791.6
1/8/2019,21895.8
1/9/2019,22104.4
1/10/2019,21974
1/11/2019,22000.1
1/14/2019,22156.5
1/15/2019,22312.9
1/16/2019,22182.6
1/17/2019,21895.8
1/18/2019,21895.8
1/21/2019,22156.5
1/22/2019,22078.3
1/23/2019,22078.3
1/24/2019,22130.4
1/25/2019,22104.4
1/28/2019,21948
1/29/2019,22156.5
1/30/2019,22521.4
1/31/2019,22521.4
2/1/2019,22208.6
2/11/2019,23016.7
2/12/2019,22886.4
2/13/2019,23225.2
2/14/2019,23068.8
2/15/2019,23042.8
2/18/2019,23147
2/19/2019,23147
2/20/2019,23381.6
2/21/2019,23355.6
2/22/2019,23564.1
2/25/2019,23720.5
2/26/2019,23564.1
2/27/2019,23512
2/28/2019,23042.8
3/1/2019,23251.3
3/4/2019,23459.8
3/5/2019,23407.7
3/6/2019,23251.3
3/7/2019,23329.5
3/8/2019,23277.4
3/11/2019,23199.2
3/12/2019,24241.8
3/13/2019,24085.4
3/14/2019,24111.5
3/15/2019,23981.2
3/18/2019,24085.4
3/19/2019,23824.8
3/20/2019,23694.4
3/21/2019,23512
3/22/2019,23485.9
3/25/2019,23147
3/26/2019,23329.5
3/27/2019,23459.8
3/28/2019,23538
3/29/2019,23720.5
4/1/2019,23876.9
4/2/2019,23981.2
4/3/2019,24606.8
4/4/2019,24919.6
4/5/2019,24919.6
4/8/2019,24919.6
4/9/2019,24658.9
4/10/2019,24450.4
4/11/2019,24502.5
4/12/2019,25128.1
4/16/2019,24971.7
4/17/2019,25284.5
4/18/2019,25284.5
4/19/2019,25258.4
4/22/2019,24971.7
4/23/2019,24971.7
4/24/2019,25310.6
4/25/2019,25440.9
4/26/2019,25831.9
5/2/2019,25988.3
5/3/2019,26066.5
5/6/2019,25414.8
5/7/2019,25910.1
5/8/2019,25884
5/9/2019,25336.6
5/10/2019,25545.2
5/13/2019,25805.8
5/14/2019,26170.8
5/15/2019,26275
5/16/2019,25884
5/17/2019,25965.8
5/20/2019,26433.2
5/21/2019,26812.9
5/22/2019,26433.2
5/23/2019,26696
5/24/2019,26637.6
5/27/2019,26433.2
5/28/2019,26199.5
5/29/2019,25761.4
5/30/2019,26024.3
5/31/2019,25761.4
6/3/2019,25410.9
6/4/2019,25294.1
6/5/2019,25469.3
6/6/2019,25995.1
6/7/2019,26404
6/10/2019,26345.6
6/11/2019,26404
6/12/2019,26316.3
6/13/2019,26024.3
6/14/2019,25936.6
6/17/2019,25732.2
6/18/2019,25732.2
6/19/2019,26082.7
6/20/2019,26520.8
6/21/2019,26520.8
6/24/2019,26374.8
6/25/2019,27163.4
6/26/2019,26958.9
6/27/2019,26520.8
6/28/2019,26579.2
7/1/2019,27513.9
7/2/2019,27397
7/3/2019,27338.6
7/4/2019,27426.2
7/5/2019,27221.8
7/8/2019,27046.5
7/9/2019,27309.4
7/10/2019,27484.7
7/11/2019,27455.5
7/12/2019,27455.5
7/15/2019,27630.7
7/16/2019,27630.7
7/17/2019,27484.7
7/18/2019,27338.6
7/19/2019,28156.4
7/22/2019,28244.1
7/23/2019,28506.9
7/24/2019,28390.1
7/25/2019,28419.3
7/26/2019,28506.9
7/29/2019,28390.1
7/30/2019,27922.8
7/31/2019,28273.3
8/1/2019,28244.1
8/2/2019,28506.9
8/5/2019,28623.8
8/6/2019,28594.6
8/7/2019,29061.9
8/8/2019,29383.2
8/9/2019,29850.5
8/12/2019,30551.5
8/13/2019,30668.3
8/14/2019,31077.2
8/15/2019,31553.5
8/16/2019,30958.2
8/19/2019,31196.3
8/20/2019,32148.9
8/21/2019,31910.7
8/22/2019,31553.5
8/23/2019,32387
8/26/2019,31970.3
8/27/2019,31434.4
8/28/2019,31017.7
8/29/2019,31374.9
8/30/2019,31613.1
9/3/2019,31970.3
9/4/2019,31672.6
9/5/2019,31315.4
9/6/2019,31494
9/9/2019,32029.8
9/10/2019,32148.9
9/11/2019,32208.4
9/12/2019,33637.2
9/13/2019,33815.8
9/16/2019,34351.7
9/17/2019,34292.1
9/18/2019,33577.7
9/19/2019,34411.2
9/20/2019,34649.3
9/23/2019,33637.2
9/24/2019,33458.6
9/25/2019,34173.1
9/26/2019,34351.7
9/27/2019,34827.9
9/30/2019,34351.7
10/1/2019,34827.9
10/2/2019,34054
10/3/2019,34054
10/4/2019,33815.8
10/7/2019,33041.9
10/8/2019,33399.1
10/9/2019,33577.7
10/10/2019,33577.7
10/11/2019,33637.2
10/14/2019,34351.7
10/15/2019,34173.1
10/16/2019,34232.6
10/17/2019,33756.3
10/18/2019,33994.4
10/21/2019,33637.2
10/22/2019,33518.2
10/23/2019,33577.7
10/24/2019,34649.3
10/25/2019,34530.3
10/28/2019,34589.8
10/29/2019,34470.7
10/30/2019,34411.2
10/31/2019,34470.7
11/1/2019,34827.9
11/4/2019,35661.4
11/5/2019,35601.9
11/6/2019,35423.3
11/7/2019,35423.3
11/8/2019,35482.8
11/11/2019,35721
11/12/2019,36316.3
11/13/2019,36018.6
11/14/2019,34708.9
11/15/2019,34887.5
11/18/2019,34232.6
11/19/2019,34708.9
11/20/2019,33815.8
11/21/2019,33339.6
11/22/2019,33339.6
11/25/2019,33696.8
11/26/2019,33994.4
11/27/2019,33934.9
11/28/2019,33339.6
11/29/2019,33577.7
12/2/2019,32506.1
12/3/2019,32446.5
12/4/2019,32982.4
12/5/2019,32684.7
12/6/2019,32744.2
12/9/2019,32922.8
12/10/2019,33041.9
12/11/2019,33637.2
12/12/2019,33934.9
12/13/2019,33994.4
12/16/2019,33637.2
12/17/2019,32982.4
12/18/2019,33041.9
12/19/2019,33220.5
12/20/2019,33637.2
12/23/2019,33399.1
12/24/2019,33577.7
12/25/2019,34232.6
12/26/2019,34173.1
12/27/2019,34292.1
12/30/2019,34887.5
12/31/2019,34708.9
1/2/2020,34887.5
1/3/2020,34292.1
1/6/2020,33934.9
1/7/2020,34589.8
1/8/2020,33815.8
1/9/2020,34292.1
1/10/2020,34232.6
1/13/2020,33994.4
1/14/2020,33934.9
1/15/2020,33934.9
1/16/2020,34530.3
1/17/2020,34292.1
1/20/2020,34173.1
1/21/2020,33041.9
1/22/2020,33637.2
1/30/2020,32565.6
1/31/2020,30958.2
2/3/2020,30660.5
2/4/2020,30839.1
2/5/2020,30958.2
2/6/2020,31910.7
2/7/2020,31732.1
2/10/2020,31315.4
2/11/2020,31910.7
2/12/2020,32208.4
2/13/2020,32327.5
2/14/2020,32446.5
2/17/2020,32267.9
2/18/2020,33339.6
2/19/2020,33161
2/20/2020,33220.5
2/21/2020,32565.6
2/24/2020,31255.8
2/25/2020,32148.9
2/26/2020,32744.2
2/27/2020,33339.6
2/28/2020,32803.7
3/2/2020,33161
3/3/2020,33280
3/4/2020,33041.9
3/5/2020,32506.1
3/6/2020,32148.9
3/9/2020,29946.1
3/10/2020,30779.6
3/11/2020,30243.7
3/12/2020,28636.3
3/13/2020,28666.1
3/16/2020,28338.6
3/17/2020,28874.4
3/18/2020,28814.9
3/19/2020,28398.2
3/20/2020,28398.2
3/23/2020,26433.5
3/24/2020,26493
3/25/2020,27386.1
3/26/2020,26314.4
3/27/2020,25659.6
3/30/2020,24052.1
3/31/2020,24468.9
4/1/2020,25183.3
4/3/2020,26552.6
4/6/2020,28279.1
4/7/2020,28160
4/8/2020,27892.1
4/9/2020,27892.1
4/10/2020,27624.2
4/13/2020,27683.7
4/14/2020,29469.8
4/15/2020,29827
4/16/2020,29946.1
4/17/2020,30481.9
4/20/2020,30541.4
4/21/2020,29350.7
4/22/2020,30422.4
4/23/2020,30362.8
4/24/2020,30362.8
4/27/2020,30184.2
4/28/2020,30184.2
4/29/2020,30243.7
5/4/2020,30065.1
5/5/2020,30303.3
5/6/2020,31494
